epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4272,4.19171,6.28101,4.23215,3e-05,0.01786,4e-05,1e-05,3.94215,6.26839,4.15074,0.000407609,0.000407609,0.000407609
2,86.6221,3.4698,5.37097,3.92879,7e-05,0.03348,9e-05,2e-05,3.85865,5.7057,4.06861,0.000807955,0.000807955,0.000807955
3,127.254,3.08196,4.86458,3.34098,0.81898,0.05729,0.02662,0.01211,3.10384,5.44204,3.45421,0.0011918,0.0011918,0.0011918
4,166.992,2.81611,4.33263,3.00977,0.89049,0.11458,0.17559,0.06818,2.48736,4.49128,2.89133,0.00117575,0.00117575,0.00117575
5,207.69,2.55958,3.68624,2.74183,0.97262,0.10417,0.15137,0.06141,2.5815,5.26349,2.8573,0.001151,0.001151,0.001151
6,248.668,2.38997,3.14744,2.50604,0.27809,0.27753,0.23798,0.1045,2.21225,3.71964,2.54108,0.00112625,0.00112625,0.00112625
7,289.99,2.22236,2.80413,2.36787,0.56632,0.27359,0.25535,0.12718,2.36571,3.40014,2.69932,0.0011015,0.0011015,0.0011015
8,330.979,2.20011,2.63432,2.32191,0.37661,0.38839,0.37824,0.19366,2.02301,2.7164,2.33465,0.00107675,0.00107675,0.00107675
9,371.814,2.02661,2.32273,2.19486,0.3783,0.49399,0.39208,0.16904,2.06203,3.15023,2.36469,0.001052,0.001052,0.001052
10,412.24,2.00901,2.27228,2.1796,0.85126,0.23683,0.36156,0.18012,2.09178,2.51845,2.40213,0.00102725,0.00102725,0.00102725
11,452.627,1.94451,2.23576,2.14474,0.44265,0.28051,0.31439,0.15952,2.17374,2.66809,2.50107,0.0010025,0.0010025,0.0010025
12,492.745,1.92054,2.06364,2.08846,0.41424,0.50443,0.43574,0.20187,1.82968,2.01205,2.19846,0.00097775,0.00097775,0.00097775
13,532.626,1.87522,1.91527,2.01991,0.52265,0.41964,0.44145,0.22076,1.91484,2.17993,2.19822,0.000953,0.000953,0.000953
14,573.197,1.82768,1.94592,2.0047,0.64133,0.22091,0.30619,0.14675,2.1232,3.83383,2.37115,0.00092825,0.00092825,0.00092825
15,614.594,1.82929,1.90838,2.01993,0.86743,0.38903,0.50017,0.2478,1.81228,2.0624,2.14424,0.0009035,0.0009035,0.0009035
16,655.29,1.74011,1.68965,1.91251,0.67614,0.47098,0.49888,0.26204,1.88334,2.02803,2.20826,0.00087875,0.00087875,0.00087875
17,695.884,1.75621,1.70845,1.91471,0.53543,0.61756,0.52349,0.26309,1.72853,1.87996,2.06563,0.000854,0.000854,0.000854
18,737.142,1.76063,1.69607,1.96458,0.56831,0.51042,0.54771,0.28527,1.76365,1.85977,2.11628,0.00082925,0.00082925,0.00082925
19,778.218,1.70887,1.60497,1.87444,0.74721,0.49485,0.62303,0.31855,1.69185,1.75874,2.054,0.0008045,0.0008045,0.0008045
20,818.672,1.67359,1.56407,1.8717,0.66427,0.59817,0.63407,0.36782,1.66417,1.57715,2.0131,0.00077975,0.00077975,0.00077975
21,858.545,1.62977,1.50631,1.86144,0.56875,0.48366,0.48392,0.28637,1.7511,1.94523,2.12648,0.000755,0.000755,0.000755
22,1215.46,1.65076,1.45236,1.83534,0.66988,0.58864,0.62832,0.33621,1.65691,1.51824,1.98884,0.00073025,0.00073025,0.00073025
23,1406.88,1.61912,1.44821,1.79909,0.68674,0.53646,0.626,0.34866,1.64394,1.45569,2.0011,0.0007055,0.0007055,0.0007055
24,1459.6,1.60895,1.39695,1.82017,0.58832,0.69413,0.65014,0.36057,1.66382,1.56379,2.01448,0.00068075,0.00068075,0.00068075
25,1512.4,1.59655,1.37891,1.80777,0.89898,0.63999,0.75421,0.42288,1.61397,1.40843,1.95395,0.000656,0.000656,0.000656
26,1564.51,1.57673,1.39649,1.82323,0.69606,0.53385,0.60494,0.3427,1.74215,1.66725,2.0921,0.00063125,0.00063125,0.00063125
27,1616.52,1.53462,1.29383,1.76954,0.6881,0.68155,0.69447,0.3776,1.64229,1.34697,1.96795,0.0006065,0.0006065,0.0006065
28,1669.09,1.50887,1.31799,1.74475,0.80279,0.68337,0.79449,0.4626,1.52016,1.3085,1.89874,0.00058175,0.00058175,0.00058175
29,1720.96,1.4896,1.24383,1.74264,0.72025,0.57394,0.65198,0.35804,1.66624,1.50628,2.03113,0.000557,0.000557,0.000557
30,1772.55,1.48876,1.23158,1.72146,0.67637,0.64957,0.67943,0.38617,1.57371,1.36398,1.94545,0.00053225,0.00053225,0.00053225
31,1824.91,1.45967,1.17874,1.70536,0.85412,0.64095,0.76762,0.44136,1.47718,1.29688,1.85822,0.0005075,0.0005075,0.0005075
32,1877.56,1.47343,1.22319,1.72887,0.87086,0.56771,0.67438,0.40114,1.54531,1.71249,1.97437,0.00048275,0.00048275,0.00048275
33,1930.28,1.47845,1.21526,1.72724,0.86763,0.61235,0.71259,0.41344,1.52419,1.36045,1.92316,0.000458,0.000458,0.000458
34,1982.57,1.45586,1.18611,1.69324,0.67931,0.74931,0.72982,0.42423,1.47526,1.29041,1.88555,0.00043325,0.00043325,0.00043325
35,2034.29,1.46054,1.15162,1.69242,0.83617,0.7599,0.79275,0.48941,1.42136,1.18249,1.82248,0.0004085,0.0004085,0.0004085
36,2086.57,1.41145,1.11228,1.66534,0.78532,0.80312,0.81996,0.48538,1.5251,1.12094,1.90308,0.00038375,0.00038375,0.00038375
37,2138.8,1.34893,1.07811,1.61273,0.799,0.66544,0.73207,0.4247,1.57262,1.45878,1.98074,0.000359,0.000359,0.000359
38,2191.02,1.39918,1.10295,1.65151,0.75797,0.75875,0.80177,0.4977,1.41249,1.04436,1.79106,0.00033425,0.00033425,0.00033425
39,2243.55,1.42538,1.12189,1.68102,0.79318,0.73475,0.77808,0.4407,1.46569,1.14926,1.86621,0.0003095,0.0003095,0.0003095
40,2295.64,1.35723,1.03638,1.5815,0.76635,0.77137,0.81815,0.49118,1.44272,1.09536,1.82227,0.00028475,0.00028475,0.00028475
41,2344.82,1.33337,0.99261,1.68692,0.76126,0.67113,0.72213,0.42039,1.50488,1.24748,1.8686,0.00026,0.00026,0.00026
42,2393.9,1.33715,0.98221,1.6733,0.87977,0.82961,0.85412,0.50643,1.34983,1.01999,1.73569,0.00023525,0.00023525,0.00023525
43,2442.88,1.30106,0.91622,1.63073,0.76975,0.80387,0.80021,0.4847,1.40777,1.05391,1.77606,0.0002105,0.0002105,0.0002105
44,2492.12,1.29604,0.91527,1.61762,0.74302,0.84696,0.85167,0.52258,1.36866,1.03987,1.77172,0.00018575,0.00018575,0.00018575
45,2542.38,1.27413,0.90545,1.62499,0.77409,0.71577,0.71417,0.41279,1.47837,1.23027,1.85002,0.000161,0.000161,0.000161
46,2591.82,1.25965,0.88907,1.6038,0.80032,0.75313,0.81239,0.48139,1.48289,1.16241,1.84449,0.00013625,0.00013625,0.00013625
47,2640.79,1.26416,0.88897,1.62073,0.83569,0.81834,0.84288,0.52509,1.37215,0.98623,1.75968,0.0001115,0.0001115,0.0001115
48,2690.03,1.2387,0.87399,1.59785,0.82527,0.85374,0.84926,0.51881,1.38359,0.96665,1.75514,8.675e-05,8.675e-05,8.675e-05
49,2738.55,1.22147,0.85182,1.56822,0.85079,0.79867,0.85402,0.53065,1.34343,0.93616,1.73402,6.2e-05,6.2e-05,6.2e-05
50,2788.28,1.23695,0.86859,1.59771,0.8303,0.85161,0.85395,0.52876,1.34492,0.94568,1.7481,3.725e-05,3.725e-05,3.725e-05
